region,años_estudio,analfabetismo,ingreso,PEAO,trabajo_ind_no_rem,sin_ingresos,parlamentarias,alcadesas,regidoras,violencia_sexual,violencia_fisica,violencia_psico
Amazonas,9.127385429,8.553560171,1086.070089,91.92583,56.0804355,30.46668926,1,4,235,564,1452,606
Áncash,10.04955442,11.45962091,1237.23273,265.8984,51.63746832,30.24744347,3,7,450,1131,2856,3161
Apurímac,9.571748981,16.00912635,1156.165615,112.2824,62.44586897,37.02915817,1,3,208,368,1333,1128
Arequipa,11.17983103,5.377675347,1578.641602,314.1525,29.69157954,27.98179128,2,6,302,2399,4654,6535
Ayacucho,9.414716785,13.18265935,1070.371611,162.5212,55.97847645,33.43042867,1,4,307,1003,1934,1633
Cajamarca,8.907468938,15.38051244,941.7155596,349.1852,67.01437326,33.05221535,3,3,306,742,3202,1467
Callao,11.00914672,2.550036324,,,,27.41000572,3,0,,705,2988,1419
Cusco,9.913183883,14.48739862,1222.625035,363.2624,56.62952955,30.07967197,2,9,26,1582,3428,4158
Huancavelica,9.454768139,16.89397245,862.5897355,83.17612,68.68049951,33.77067907,0,3,293,401,880,1079
Huánuco,8.958320208,18.2188076,1227.821427,160.9341,56.1477294,30.06085851,1,6,240,1099,1744,1769
Ica,10.99053146,3.102524754,1543.920672,199.8039,29.09549946,21.24571741,0,5,223,1244,2203,1980
Junín,10.22323681,7.663306904,1036.298069,312.4724,48.79054648,27.02126534,1,6,135,1367,2341,2205
La Libertad,10.16771849,6.852652014,1250.931006,542.1132,47.2199177,31.18594132,1,2,335,1497,2840,2730
Lambayeque,10.35033999,5.754992647,1222.218675,295.4352,44.93573039,29.79781344,3,3,230,787,1307,1100
Lima Metropolitana,11.39265025,2.695788559,1797.411308,2516.353,25.78131888,27.22062856,15,6,111,7984,10693,11692
Lima Provincias,10.51607367,5.213195518,1162.209595,363.1661,37.37008921,26.17539815,2,11,227,1342,3680,2624
Loreto,9.074081132,6.049117822,1280.803856,206.6225,60.69315222,37.29534658,1,5,327,747,1756,1189
Madre de Dios,10.08149,3.767681046,1543.423939,37.44817,43.77524226,27.64490832,0,1,31,272,355,549
Moquegua,11.18281602,5.017694129,1367.762466,41.34571,36.33634263,25.42393062,0,2,56,197,1245,581
Pasco,10.29046326,6.486586456,1001.72276,54.1138,57.26490715,31.64839255,0,4,78,232,464,441
Piura,9.642948556,7.778836505,1130.178746,444.5177,51.56276846,26.76793931,2,3,195,1069,3612,2860
Puno,9.781402913,11.89242163,811.4789886,315.2492,66.69481035,24.47511234,0,2,256,631,2022,1674
San Martín,9.196433168,7.30031834,1208.425448,194.1089,51.87671292,33.91674,3,3,201,1349,3236,2215
Tacna,10.58266105,5.650873546,1364.468106,87.09594,40.84000006,22.80376393,1,2,73,536,965,1066
Tumbes,10.10362788,4.231149721,1245.815552,49.48295,45.05666641,29.97248653,1,0,37,253,691,745
Ucayali,9.276650315,6.314129609,1345.244439,123.3516,56.96327383,27.05723559,2,2,65,898,1874,689
